business_activity_description,Cost,Vendor,Comment,2017 NAICS Title
Activities related to dual-purpose cattle ranching and farming.,26995.79,BioHarvest,Procured for dual-purpose cattle ranching and farming operations.,Dual-Purpose Cattle Ranching and Farming
Activities related to peanut farming.,8576.51,CropGen,Procured for peanut farming operations.,Peanut Farming
Activities related to other food crops grown under cover.,8791.31,FreshFields,Procured for other food crops grown under cover operations.,Other Food Crops Grown Under Cover
Activities related to horses and other equine production.,34387.4,BioHarvest,Procured for horses and other equine production operations.,Horses and Other Equine Production
Activities related to poultry hatcheries.,42868.28,BioHarvest,Procured for poultry hatcheries operations.,Poultry Hatcheries
Activities related to apiculture.,16939.44,BioHarvest,Procured for apiculture operations.,Apiculture
Activities related to goat farming.,17669.75,FreshFields,Procured for goat farming operations.,Goat Farming
Activities related to other food crops grown under cover.,29337.79,FreshFields,Procured for other food crops grown under cover operations.,Other Food Crops Grown Under Cover
Activities related to oilseed and grain combination farming.,48043.62,CropGen,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to rice farming.,13443.57,BioHarvest,Procured for rice farming operations.,Rice Farming
Activities related to chicken egg production.,39936.58,FreshFields,Procured for chicken egg production operations.,Chicken Egg Production
Activities related to goat farming.,32194.34,EcoFarms,Procured for goat farming operations.,Goat Farming
Activities related to mushroom production.,5404.4,CropGen,Procured for mushroom production operations.,Mushroom Production
Activities related to dual-purpose cattle ranching and farming.,42140.37,CropGen,Procured for dual-purpose cattle ranching and farming operations.,Dual-Purpose Cattle Ranching and Farming
Activities related to strawberry farming.,26062.48,EcoFarms,Procured for strawberry farming operations.,Strawberry Farming
Activities related to fur-bearing animal and rabbit production.,36730.17,EcoFarms,Procured for fur-bearing animal and rabbit production operations.,Fur-Bearing Animal and Rabbit Production
Activities related to all other grain farming.,44373.57,EcoFarms,Procured for all other grain farming operations.,All Other Grain Farming
Activities related to horses and other equine production.,4651.74,BioHarvest,Procured for horses and other equine production operations.,Horses and Other Equine Production
Activities related to fruit and tree nut combination farming.,34207.2,CropGen,Procured for fruit and tree nut combination farming operations.,Fruit and Tree Nut Combination Farming
Activities related to tree nut farming.,8333.95,AgriCorp,Procured for tree nut farming operations.,Tree Nut Farming
Activities related to dry pea and bean farming.,43783.79,AgriCorp,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
Activities related to shellfish farming.,14674.61,EcoFarms,Procured for shellfish farming operations.,Shellfish Farming
Activities related to mushroom production.,22077.6,CropGen,Procured for mushroom production operations.,Mushroom Production
Activities related to dual-purpose cattle ranching and farming.,46389.75,AgriCorp,Procured for dual-purpose cattle ranching and farming operations.,Dual-Purpose Cattle Ranching and Farming
Activities related to sugarcane farming.,15971.72,FreshFields,Procured for sugarcane farming operations.,Sugarcane Farming
Activities related to potato farming.,1466.29,FreshFields,Procured for potato farming operations.,Potato Farming
Activities related to hay farming.,37618.63,EcoFarms,Procured for hay farming operations.,Hay Farming
Activities related to other poultry production.,23631.12,BioHarvest,Procured for other poultry production operations.,Other Poultry Production
Activities related to sugarcane farming.,32903.53,FreshFields,Procured for sugarcane farming operations.,Sugarcane Farming
Activities related to cotton farming.,16919.72,AgriCorp,Procured for cotton farming operations.,Cotton Farming
Activities related to orange groves.,29508.1,FreshFields,Procured for orange groves operations.,Orange Groves
Activities related to corn farming.,18561.68,CropGen,Procured for corn farming operations.,Corn Farming
Activities related to berry (except strawberry) farming.,39873.59,CropGen,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
Activities related to cattle feedlots.,34989.61,FreshFields,Procured for cattle feedlots operations.,Cattle Feedlots
Activities related to goat farming.,39741.98,FreshFields,Procured for goat farming operations.,Goat Farming
Activities related to dry pea and bean farming.,49148.17,BioHarvest,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
Activities related to citrus (except orange) groves.,14770.4,EcoFarms,Procured for citrus (except orange) groves operations.,Citrus (except Orange) Groves
Activities related to horses and other equine production.,19122.65,BioHarvest,Procured for horses and other equine production operations.,Horses and Other Equine Production
Activities related to fur-bearing animal and rabbit production.,38739.52,EcoFarms,Procured for fur-bearing animal and rabbit production operations.,Fur-Bearing Animal and Rabbit Production
Activities related to poultry hatcheries.,44729.72,FreshFields,Procured for poultry hatcheries operations.,Poultry Hatcheries
Activities related to other poultry production.,26780.14,BioHarvest,Procured for other poultry production operations.,Other Poultry Production
Activities related to other poultry production.,38668.94,AgriCorp,Procured for other poultry production operations.,Other Poultry Production
Activities related to hog and pig farming.,31965.56,BioHarvest,Procured for hog and pig farming operations.,Hog and Pig Farming
Activities related to other food crops grown under cover.,44884.4,FreshFields,Procured for other food crops grown under cover operations.,Other Food Crops Grown Under Cover
Activities related to other food crops grown under cover.,19931.05,FreshFields,Procured for other food crops grown under cover operations.,Other Food Crops Grown Under Cover
Activities related to mushroom production.,23382.38,FreshFields,Procured for mushroom production operations.,Mushroom Production
Activities related to turkey production.,12005.5,FreshFields,Procured for turkey production operations.,Turkey Production
Activities related to sugar beet farming.,40070.18,EcoFarms,Procured for sugar beet farming operations.,Sugar Beet Farming
Activities related to dairy cattle and milk production.,16886.28,FreshFields,Procured for dairy cattle and milk production operations.,Dairy Cattle and Milk Production
Activities related to dry pea and bean farming.,39997.54,BioHarvest,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
Activities related to broilers and other meat type chicken production.,19925.42,CropGen,Procured for broilers and other meat type chicken production operations.,Broilers and Other Meat Type Chicken Production
Activities related to rice farming.,41867.81,FreshFields,Procured for rice farming operations.,Rice Farming
Activities related to goat farming.,40570.62,EcoFarms,Procured for goat farming operations.,Goat Farming
Activities related to cattle feedlots.,28515.46,BioHarvest,Procured for cattle feedlots operations.,Cattle Feedlots
Activities related to wheat farming.,36852.48,AgriCorp,Procured for wheat farming operations.,Wheat Farming
Activities related to corn farming.,8431.06,EcoFarms,Procured for corn farming operations.,Corn Farming
Activities related to other poultry production.,29330.01,CropGen,Procured for other poultry production operations.,Other Poultry Production
Activities related to all other grain farming.,7731.2,BioHarvest,Procured for all other grain farming operations.,All Other Grain Farming
Activities related to all other miscellaneous crop farming.,16274.12,AgriCorp,Procured for all other miscellaneous crop farming operations.,All Other Miscellaneous Crop Farming
Activities related to wheat farming.,30046.3,AgriCorp,Procured for wheat farming operations.,Wheat Farming
Activities related to other noncitrus fruit farming.,36221.53,AgriCorp,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Activities related to dairy cattle and milk production.,2312.77,CropGen,Procured for dairy cattle and milk production operations.,Dairy Cattle and Milk Production
Activities related to shellfish farming.,49284.89,AgriCorp,Procured for shellfish farming operations.,Shellfish Farming
Activities related to other food crops grown under cover.,3789.21,AgriCorp,Procured for other food crops grown under cover operations.,Other Food Crops Grown Under Cover
Activities related to hog and pig farming.,24935.7,CropGen,Procured for hog and pig farming operations.,Hog and Pig Farming
Activities related to horses and other equine production.,37259.04,EcoFarms,Procured for horses and other equine production operations.,Horses and Other Equine Production
Activities related to all other miscellaneous crop farming.,7135.93,EcoFarms,Procured for all other miscellaneous crop farming operations.,All Other Miscellaneous Crop Farming
Activities related to oilseed and grain combination farming.,21370.21,FreshFields,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to dual-purpose cattle ranching and farming.,47651.65,CropGen,Procured for dual-purpose cattle ranching and farming operations.,Dual-Purpose Cattle Ranching and Farming
Activities related to wheat farming.,41897.44,CropGen,Procured for wheat farming operations.,Wheat Farming
Activities related to chicken egg production.,15679.58,FreshFields,Procured for chicken egg production operations.,Chicken Egg Production
Activities related to nursery and tree production.,32131.78,FreshFields,Procured for nursery and tree production operations.,Nursery and Tree Production
Activities related to berry (except strawberry) farming.,44656.28,EcoFarms,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
Activities related to other poultry production.,9777.85,FreshFields,Procured for other poultry production operations.,Other Poultry Production
Activities related to hay farming.,45100.09,FreshFields,Procured for hay farming operations.,Hay Farming
Activities related to apple orchards.,17455.49,BioHarvest,Procured for apple orchards operations.,Apple Orchards
Activities related to broilers and other meat type chicken production.,46727.68,AgriCorp,Procured for broilers and other meat type chicken production operations.,Broilers and Other Meat Type Chicken Production
Activities related to soybean farming.,25012.53,CropGen,Procured for soybean farming operations.,Soybean Farming
Activities related to poultry hatcheries.,40947.01,EcoFarms,Procured for poultry hatcheries operations.,Poultry Hatcheries
Activities related to sheep farming.,37615.83,AgriCorp,Procured for sheep farming operations.,Sheep Farming
Activities related to strawberry farming.,38384.79,AgriCorp,Procured for strawberry farming operations.,Strawberry Farming
Activities related to turkey production.,11552.34,CropGen,Procured for turkey production operations.,Turkey Production
Activities related to cattle feedlots.,37583.44,EcoFarms,Procured for cattle feedlots operations.,Cattle Feedlots
Activities related to apple orchards.,18566.34,BioHarvest,Procured for apple orchards operations.,Apple Orchards
Activities related to tree nut farming.,14221.37,AgriCorp,Procured for tree nut farming operations.,Tree Nut Farming
Activities related to apple orchards.,19930.74,CropGen,Procured for apple orchards operations.,Apple Orchards
Activities related to oilseed (except soybean) farming.,42416.89,AgriCorp,Procured for oilseed (except soybean) farming operations.,Oilseed (except Soybean) Farming
Activities related to oilseed (except soybean) farming.,4826.46,AgriCorp,Procured for oilseed (except soybean) farming operations.,Oilseed (except Soybean) Farming
Activities related to cotton farming.,25622.96,FreshFields,Procured for cotton farming operations.,Cotton Farming
Activities related to strawberry farming.,45219.09,AgriCorp,Procured for strawberry farming operations.,Strawberry Farming
Activities related to poultry hatcheries.,34055.41,EcoFarms,Procured for poultry hatcheries operations.,Poultry Hatcheries
Activities related to shellfish farming.,41958.5,CropGen,Procured for shellfish farming operations.,Shellfish Farming
Activities related to dry pea and bean farming.,13386.05,AgriCorp,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
Activities related to cotton farming.,5176.27,FreshFields,Procured for cotton farming operations.,Cotton Farming
Activities related to apple orchards.,15065.62,BioHarvest,Procured for apple orchards operations.,Apple Orchards
Activities related to rice farming.,20657.52,FreshFields,Procured for rice farming operations.,Rice Farming
Activities related to sugarcane farming.,27310.58,AgriCorp,Procured for sugarcane farming operations.,Sugarcane Farming
Activities related to hay farming.,18828.67,AgriCorp,Procured for hay farming operations.,Hay Farming
Activities related to tobacco farming.,31565.01,FreshFields,Procured for tobacco farming operations.,Tobacco Farming
Activities related to tree nut farming.,22997.32,EcoFarms,Procured for tree nut farming operations.,Tree Nut Farming
Activities related to other aquaculture.,32557.05,FreshFields,Procured for other aquaculture operations.,Other Aquaculture
Activities related to dairy cattle and milk production.,27951.93,AgriCorp,Procured for dairy cattle and milk production operations.,Dairy Cattle and Milk Production
Activities related to beef cattle ranching and farming.,20591.79,CropGen,Procured for beef cattle ranching and farming operations.,Beef Cattle Ranching and Farming
Activities related to cattle feedlots.,34147.67,AgriCorp,Procured for cattle feedlots operations.,Cattle Feedlots
Activities related to rice farming.,31740.45,BioHarvest,Procured for rice farming operations.,Rice Farming
Activities related to citrus (except orange) groves.,25427.27,FreshFields,Procured for citrus (except orange) groves operations.,Citrus (except Orange) Groves
Activities related to finfish farming and fish hatcheries.,41220.56,EcoFarms,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to grape vineyards.,15458.28,AgriCorp,Procured for grape vineyards operations.,Grape Vineyards
Activities related to sheep farming.,21872.93,CropGen,Procured for sheep farming operations.,Sheep Farming
Activities related to tobacco farming.,25664.3,CropGen,Procured for tobacco farming operations.,Tobacco Farming
Activities related to potato farming.,35553.15,BioHarvest,Procured for potato farming operations.,Potato Farming
Activities related to dual-purpose cattle ranching and farming.,16565.72,BioHarvest,Procured for dual-purpose cattle ranching and farming operations.,Dual-Purpose Cattle Ranching and Farming
Activities related to berry (except strawberry) farming.,27503.49,FreshFields,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
Activities related to fur-bearing animal and rabbit production.,42157.11,AgriCorp,Procured for fur-bearing animal and rabbit production operations.,Fur-Bearing Animal and Rabbit Production
Activities related to sheep farming.,21759.21,BioHarvest,Procured for sheep farming operations.,Sheep Farming
Activities related to mushroom production.,39515.94,AgriCorp,Procured for mushroom production operations.,Mushroom Production
Activities related to other vegetable (except potato) and melon farming.,15201.31,FreshFields,Procured for other vegetable (except potato) and melon farming operations.,Other Vegetable (except Potato) and Melon Farming
Activities related to hog and pig farming.,33894.84,AgriCorp,Procured for hog and pig farming operations.,Hog and Pig Farming
Activities related to broilers and other meat type chicken production.,22527.53,FreshFields,Procured for broilers and other meat type chicken production operations.,Broilers and Other Meat Type Chicken Production
Activities related to sheep farming.,25296.29,BioHarvest,Procured for sheep farming operations.,Sheep Farming
Activities related to oilseed (except soybean) farming.,7439.07,AgriCorp,Procured for oilseed (except soybean) farming operations.,Oilseed (except Soybean) Farming
Activities related to dual-purpose cattle ranching and farming.,17790.7,CropGen,Procured for dual-purpose cattle ranching and farming operations.,Dual-Purpose Cattle Ranching and Farming
Activities related to citrus (except orange) groves.,18548.25,EcoFarms,Procured for citrus (except orange) groves operations.,Citrus (except Orange) Groves
Activities related to horses and other equine production.,47440.12,AgriCorp,Procured for horses and other equine production operations.,Horses and Other Equine Production
Activities related to other food crops grown under cover.,1286.59,BioHarvest,Procured for other food crops grown under cover operations.,Other Food Crops Grown Under Cover
Activities related to all other grain farming.,48906.15,AgriCorp,Procured for all other grain farming operations.,All Other Grain Farming
Activities related to dual-purpose cattle ranching and farming.,14540.62,EcoFarms,Procured for dual-purpose cattle ranching and farming operations.,Dual-Purpose Cattle Ranching and Farming
Activities related to citrus (except orange) groves.,19566.69,CropGen,Procured for citrus (except orange) groves operations.,Citrus (except Orange) Groves
Activities related to other aquaculture.,31515.73,FreshFields,Procured for other aquaculture operations.,Other Aquaculture
Activities related to grape vineyards.,37668.1,AgriCorp,Procured for grape vineyards operations.,Grape Vineyards
Activities related to apiculture.,16126.39,EcoFarms,Procured for apiculture operations.,Apiculture
Activities related to floriculture production.,5927.65,CropGen,Procured for floriculture production operations.,Floriculture Production
Activities related to finfish farming and fish hatcheries.,9881.68,AgriCorp,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to all other animal production.,2543.7,EcoFarms,Procured for all other animal production operations.,All Other Animal Production
Activities related to floriculture production.,26139.89,AgriCorp,Procured for floriculture production operations.,Floriculture Production
Activities related to sugarcane farming.,26393.72,AgriCorp,Procured for sugarcane farming operations.,Sugarcane Farming
Activities related to other noncitrus fruit farming.,10851.2,FreshFields,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Activities related to grape vineyards.,30737.84,BioHarvest,Procured for grape vineyards operations.,Grape Vineyards
Activities related to apiculture.,41863.12,AgriCorp,Procured for apiculture operations.,Apiculture
Activities related to other noncitrus fruit farming.,9085.85,FreshFields,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Activities related to floriculture production.,37655.68,EcoFarms,Procured for floriculture production operations.,Floriculture Production
Activities related to oilseed and grain combination farming.,47540.79,CropGen,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to oilseed (except soybean) farming.,40084.17,AgriCorp,Procured for oilseed (except soybean) farming operations.,Oilseed (except Soybean) Farming
Activities related to poultry hatcheries.,41386.07,AgriCorp,Procured for poultry hatcheries operations.,Poultry Hatcheries
Activities related to other aquaculture.,38540.26,FreshFields,Procured for other aquaculture operations.,Other Aquaculture
Activities related to oilseed and grain combination farming.,46351.74,AgriCorp,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to citrus (except orange) groves.,9861.68,FreshFields,Procured for citrus (except orange) groves operations.,Citrus (except Orange) Groves
Activities related to all other miscellaneous crop farming.,40850.64,CropGen,Procured for all other miscellaneous crop farming operations.,All Other Miscellaneous Crop Farming
Activities related to other vegetable (except potato) and melon farming.,22737.76,EcoFarms,Procured for other vegetable (except potato) and melon farming operations.,Other Vegetable (except Potato) and Melon Farming
Activities related to horses and other equine production.,17859.48,AgriCorp,Procured for horses and other equine production operations.,Horses and Other Equine Production
Activities related to all other grain farming.,41616.16,EcoFarms,Procured for all other grain farming operations.,All Other Grain Farming
Activities related to other poultry production.,39394.47,FreshFields,Procured for other poultry production operations.,Other Poultry Production
Activities related to grape vineyards.,39631.31,BioHarvest,Procured for grape vineyards operations.,Grape Vineyards
Activities related to other aquaculture.,20184.27,AgriCorp,Procured for other aquaculture operations.,Other Aquaculture
Activities related to potato farming.,12273.78,BioHarvest,Procured for potato farming operations.,Potato Farming
Activities related to wheat farming.,29615.54,CropGen,Procured for wheat farming operations.,Wheat Farming
Activities related to tree nut farming.,31061.15,FreshFields,Procured for tree nut farming operations.,Tree Nut Farming
Activities related to floriculture production.,35537.76,BioHarvest,Procured for floriculture production operations.,Floriculture Production
Activities related to other noncitrus fruit farming.,47670.64,CropGen,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Activities related to other vegetable (except potato) and melon farming.,32044.31,AgriCorp,Procured for other vegetable (except potato) and melon farming operations.,Other Vegetable (except Potato) and Melon Farming
Activities related to oilseed and grain combination farming.,48788.08,EcoFarms,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to tree nut farming.,2363.17,AgriCorp,Procured for tree nut farming operations.,Tree Nut Farming
Activities related to potato farming.,33585.95,FreshFields,Procured for potato farming operations.,Potato Farming
Activities related to beef cattle ranching and farming.,25098.28,EcoFarms,Procured for beef cattle ranching and farming operations.,Beef Cattle Ranching and Farming
Activities related to hog and pig farming.,48821.04,CropGen,Procured for hog and pig farming operations.,Hog and Pig Farming
Activities related to berry (except strawberry) farming.,27221.03,AgriCorp,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
Activities related to oilseed and grain combination farming.,35138.26,CropGen,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to dry pea and bean farming.,21235.93,EcoFarms,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
Activities related to other noncitrus fruit farming.,5653.5,EcoFarms,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Activities related to finfish farming and fish hatcheries.,26180.49,CropGen,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to fur-bearing animal and rabbit production.,42356.78,BioHarvest,Procured for fur-bearing animal and rabbit production operations.,Fur-Bearing Animal and Rabbit Production
Activities related to turkey production.,15253.43,AgriCorp,Procured for turkey production operations.,Turkey Production
Activities related to hay farming.,42163.19,BioHarvest,Procured for hay farming operations.,Hay Farming
Activities related to other poultry production.,41262.35,FreshFields,Procured for other poultry production operations.,Other Poultry Production
Activities related to other aquaculture.,2952.96,BioHarvest,Procured for other aquaculture operations.,Other Aquaculture
Activities related to goat farming.,17192.58,AgriCorp,Procured for goat farming operations.,Goat Farming
Activities related to horses and other equine production.,47770.96,EcoFarms,Procured for horses and other equine production operations.,Horses and Other Equine Production
Activities related to nursery and tree production.,9566.69,FreshFields,Procured for nursery and tree production operations.,Nursery and Tree Production
Activities related to sugarcane farming.,33245.33,FreshFields,Procured for sugarcane farming operations.,Sugarcane Farming
Activities related to other noncitrus fruit farming.,38381.74,FreshFields,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Activities related to beef cattle ranching and farming.,4804.48,CropGen,Procured for beef cattle ranching and farming operations.,Beef Cattle Ranching and Farming
Activities related to grape vineyards.,7471.05,BioHarvest,Procured for grape vineyards operations.,Grape Vineyards
Activities related to mushroom production.,20958.75,CropGen,Procured for mushroom production operations.,Mushroom Production
Activities related to cattle feedlots.,29879.97,AgriCorp,Procured for cattle feedlots operations.,Cattle Feedlots
Activities related to dry pea and bean farming.,22435.09,BioHarvest,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
Activities related to tobacco farming.,45951.68,BioHarvest,Procured for tobacco farming operations.,Tobacco Farming
Activities related to other poultry production.,8134.97,FreshFields,Procured for other poultry production operations.,Other Poultry Production
Activities related to other noncitrus fruit farming.,45247.59,CropGen,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Activities related to floriculture production.,27051.96,BioHarvest,Procured for floriculture production operations.,Floriculture Production
Activities related to all other miscellaneous crop farming.,2338.7,FreshFields,Procured for all other miscellaneous crop farming operations.,All Other Miscellaneous Crop Farming
Activities related to beef cattle ranching and farming.,23629.31,AgriCorp,Procured for beef cattle ranching and farming operations.,Beef Cattle Ranching and Farming
Activities related to all other animal production.,45831.53,EcoFarms,Procured for all other animal production operations.,All Other Animal Production
Activities related to shellfish farming.,2839.04,FreshFields,Procured for shellfish farming operations.,Shellfish Farming
Activities related to berry (except strawberry) farming.,19157.72,FreshFields,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
Activities related to shellfish farming.,26685.94,AgriCorp,Procured for shellfish farming operations.,Shellfish Farming
Activities related to oilseed and grain combination farming.,13510.76,CropGen,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to peanut farming.,12773.99,CropGen,Procured for peanut farming operations.,Peanut Farming
Activities related to sugar beet farming.,4545.06,FreshFields,Procured for sugar beet farming operations.,Sugar Beet Farming
Activities related to grape vineyards.,17909.15,AgriCorp,Procured for grape vineyards operations.,Grape Vineyards
Activities related to potato farming.,16552.29,BioHarvest,Procured for potato farming operations.,Potato Farming
Activities related to other food crops grown under cover.,31898.59,BioHarvest,Procured for other food crops grown under cover operations.,Other Food Crops Grown Under Cover
Activities related to sheep farming.,23266.23,FreshFields,Procured for sheep farming operations.,Sheep Farming
Activities related to other noncitrus fruit farming.,2249.73,FreshFields,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Activities related to rice farming.,29955.02,FreshFields,Procured for rice farming operations.,Rice Farming
Activities related to floriculture production.,46531.91,AgriCorp,Procured for floriculture production operations.,Floriculture Production
Activities related to dry pea and bean farming.,19362.65,EcoFarms,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
Activities related to sugarcane farming.,49444.55,FreshFields,Procured for sugarcane farming operations.,Sugarcane Farming
Activities related to potato farming.,29204.12,BioHarvest,Procured for potato farming operations.,Potato Farming
Activities related to hog and pig farming.,38225.61,FreshFields,Procured for hog and pig farming operations.,Hog and Pig Farming
Activities related to all other miscellaneous crop farming.,49500.49,CropGen,Procured for all other miscellaneous crop farming operations.,All Other Miscellaneous Crop Farming
Activities related to wheat farming.,13265.68,AgriCorp,Procured for wheat farming operations.,Wheat Farming
Activities related to corn farming.,20384.67,AgriCorp,Procured for corn farming operations.,Corn Farming
Activities related to all other grain farming.,49362.16,CropGen,Procured for all other grain farming operations.,All Other Grain Farming
Activities related to chicken egg production.,26992.09,BioHarvest,Procured for chicken egg production operations.,Chicken Egg Production
Activities related to strawberry farming.,17988.11,EcoFarms,Procured for strawberry farming operations.,Strawberry Farming
Activities related to potato farming.,32221.38,CropGen,Procured for potato farming operations.,Potato Farming
Activities related to other noncitrus fruit farming.,9839.66,BioHarvest,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Activities related to floriculture production.,35927.61,FreshFields,Procured for floriculture production operations.,Floriculture Production
Activities related to all other miscellaneous crop farming.,19521.84,FreshFields,Procured for all other miscellaneous crop farming operations.,All Other Miscellaneous Crop Farming
Activities related to hay farming.,24462.95,CropGen,Procured for hay farming operations.,Hay Farming
Activities related to poultry hatcheries.,42593.11,BioHarvest,Procured for poultry hatcheries operations.,Poultry Hatcheries
Activities related to oilseed (except soybean) farming.,49286.74,CropGen,Procured for oilseed (except soybean) farming operations.,Oilseed (except Soybean) Farming
Activities related to finfish farming and fish hatcheries.,10317.49,EcoFarms,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to hog and pig farming.,48841.33,FreshFields,Procured for hog and pig farming operations.,Hog and Pig Farming
Activities related to turkey production.,44330.87,EcoFarms,Procured for turkey production operations.,Turkey Production
Activities related to turkey production.,5370.24,AgriCorp,Procured for turkey production operations.,Turkey Production
Activities related to horses and other equine production.,17569.09,CropGen,Procured for horses and other equine production operations.,Horses and Other Equine Production
Activities related to chicken egg production.,40246.61,FreshFields,Procured for chicken egg production operations.,Chicken Egg Production
Activities related to grape vineyards.,37256.61,CropGen,Procured for grape vineyards operations.,Grape Vineyards
Activities related to horses and other equine production.,32547.57,CropGen,Procured for horses and other equine production operations.,Horses and Other Equine Production
Activities related to fur-bearing animal and rabbit production.,26202.27,BioHarvest,Procured for fur-bearing animal and rabbit production operations.,Fur-Bearing Animal and Rabbit Production
Activities related to dry pea and bean farming.,44881.43,FreshFields,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
Activities related to cotton farming.,48958.22,EcoFarms,Procured for cotton farming operations.,Cotton Farming
Activities related to dual-purpose cattle ranching and farming.,13761.05,BioHarvest,Procured for dual-purpose cattle ranching and farming operations.,Dual-Purpose Cattle Ranching and Farming
Activities related to citrus (except orange) groves.,46019.93,BioHarvest,Procured for citrus (except orange) groves operations.,Citrus (except Orange) Groves
Activities related to floriculture production.,31451.53,BioHarvest,Procured for floriculture production operations.,Floriculture Production
Activities related to other vegetable (except potato) and melon farming.,39661.91,AgriCorp,Procured for other vegetable (except potato) and melon farming operations.,Other Vegetable (except Potato) and Melon Farming
Activities related to other aquaculture.,24322.52,FreshFields,Procured for other aquaculture operations.,Other Aquaculture
Activities related to other vegetable (except potato) and melon farming.,28337.82,BioHarvest,Procured for other vegetable (except potato) and melon farming operations.,Other Vegetable (except Potato) and Melon Farming
Activities related to turkey production.,48811.11,FreshFields,Procured for turkey production operations.,Turkey Production
Activities related to finfish farming and fish hatcheries.,14184.02,EcoFarms,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to floriculture production.,44062.11,BioHarvest,Procured for floriculture production operations.,Floriculture Production
Activities related to chicken egg production.,45310.91,EcoFarms,Procured for chicken egg production operations.,Chicken Egg Production
Activities related to beef cattle ranching and farming.,39297.93,AgriCorp,Procured for beef cattle ranching and farming operations.,Beef Cattle Ranching and Farming
Activities related to other noncitrus fruit farming.,29967.1,AgriCorp,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Activities related to dual-purpose cattle ranching and farming.,16655.58,BioHarvest,Procured for dual-purpose cattle ranching and farming operations.,Dual-Purpose Cattle Ranching and Farming
Activities related to all other grain farming.,16919.95,CropGen,Procured for all other grain farming operations.,All Other Grain Farming
Activities related to broilers and other meat type chicken production.,13323.29,FreshFields,Procured for broilers and other meat type chicken production operations.,Broilers and Other Meat Type Chicken Production
Activities related to shellfish farming.,5929.2,CropGen,Procured for shellfish farming operations.,Shellfish Farming
Activities related to berry (except strawberry) farming.,26288.52,EcoFarms,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
Activities related to apple orchards.,13836.39,AgriCorp,Procured for apple orchards operations.,Apple Orchards
Activities related to other food crops grown under cover.,24865.12,AgriCorp,Procured for other food crops grown under cover operations.,Other Food Crops Grown Under Cover
Activities related to poultry hatcheries.,25173.92,BioHarvest,Procured for poultry hatcheries operations.,Poultry Hatcheries
Activities related to potato farming.,6558.27,FreshFields,Procured for potato farming operations.,Potato Farming
Activities related to hay farming.,36549.8,CropGen,Procured for hay farming operations.,Hay Farming
Activities related to oilseed and grain combination farming.,11438.56,BioHarvest,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to strawberry farming.,22877.65,CropGen,Procured for strawberry farming operations.,Strawberry Farming
Activities related to finfish farming and fish hatcheries.,15305.12,BioHarvest,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to dairy cattle and milk production.,45856.3,FreshFields,Procured for dairy cattle and milk production operations.,Dairy Cattle and Milk Production
Activities related to all other animal production.,39840.23,CropGen,Procured for all other animal production operations.,All Other Animal Production
